benchmark,scenario,noise_ratio,samples_per_client,num_clients,seed,method,exact_recovery,term_precision,term_recall,test_nmse,train_mse,spurious_accepted,exception_recovered,runtime_seconds,communication_bytes,search_evaluations,discovered_terms,expression,stop_reason
base,complementary,0.03,300,4,9018,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,2.769156153540552e-06,0.008605366321029406,0.0,1.0,0.8983840509999936,0,1633,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.001741 + 0.9933*(sin(x2)+x1) + 0.4983*((x3)^2+x1) + 0.5093*x1,generation budget reached
base,complementary,0.03,300,4,9018,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,2.76915615353757e-06,0.008605366321029408,0.0,1.0,1.1749947830003293,672896,1633,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.001741 + 0.9933*(sin(x2)+x1) + 0.4983*((x3)^2+x1) + 0.5093*x1,generation budget reached
base,complementary,0.03,300,4,9018,centralized-residual-counterexample-gp,0.0,0.3333333333333333,0.3333333333333333,2.769156153540552e-06,0.008605366321029406,0.0,1.0,0.9707146190003186,0,1633,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.001741 + 0.9933*(sin(x2)+x1) + 0.4983*((x3)^2+x1) + 0.5093*x1,generation budget reached
base,complementary,0.03,300,4,9019,fedfalsify-v05,1.0,1.0,1.0,1.9049494737141042e-06,0.008028519671919107,0.0,1.0,0.29838312700030656,238402,5,sin(x2);x1;x3^2,0.002628 + 2.003·x₁ + 0.4988·x₃² + 0.9986·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9019,centralized-tree-gp,0.0,0.3333333333333333,0.3333333333333333,1.904949479666578e-06,0.008028519671919107,0.0,1.0,0.840296044999377,0,1570,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.002628 + 0.9986*(sin(x2)+x1) + 0.4988*((x3)^2+x1) + 0.5052*x1,generation budget reached
base,complementary,0.03,300,4,9019,federated-tree-gp-style,0.0,0.3333333333333333,0.3333333333333333,1.9049494796651193e-06,0.008028519671919103,0.0,1.0,1.120595332999983,610048,1570,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.002628 + 0.9986*(sin(x2)+x1) + 0.4988*((x3)^2+x1) + 0.5052*x1,generation budget reached
base,complementary,0.03,300,4,9019,centralized-residual-counterexample-gp,0.0,0.3333333333333333,0.3333333333333333,1.904949479666578e-06,0.008028519671919107,0.0,1.0,0.8867887910000718,0,1565,"expr:add(sin(x2),x1);expr:add(square(x3),x1);x1",0.002628 + 0.9986*(sin(x2)+x1) + 0.4988*((x3)^2+x1) + 0.5052*x1,generation budget reached
base,complementary,0.03,300,4,9020,fedfalsify-v05,1.0,1.0,1.0,9.65024891704363e-07,0.007896855326706994,0.0,1.0,0.3255366559997128,238324,5,sin(x2);x1;x3^2,0.0006451 + 2·x₁ + 0.4989·x₃² + 0.9968·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
base,complementary,0.03,300,4,9020,centralized-tree-gp,0.0,0.25,0.3333333333333333,0.003981533929792104,0.04488654246940136,0.0,1.0,0.8785286929996801,0,1606,"expr:add(sin(x2),x1);expr:cos(mul(square(x3),square(x3)));expr:mul(square(x3),square(x3));x1",0.4629 + 1.01*(sin(x2)+x1) - 0.2391*cos(((x3)^2*(x3)^2)) + 0.08618*((x3)^2*(x3)^2) + 0.9943*x1,generation budget reached
base,complementary,0.03,300,4,9020,federated-tree-gp-style,0.0,0.25,0.3333333333333333,0.003981533929792095,0.04488654246940136,0.0,1.0,1.3215198440002496,648768,1606,"expr:add(sin(x2),x1);expr:cos(mul(square(x3),square(x3)));expr:mul(square(x3),square(x3));x1",0.4629 + 1.01*(sin(x2)+x1) - 0.2391*cos(((x3)^2*(x3)^2)) + 0.08618*((x3)^2*(x3)^2) + 0.9943*x1,generation budget reached
base,complementary,0.03,300,4,9020,centralized-residual-counterexample-gp,0.0,0.0,0.0,0.005326793015839833,0.04825163157891926,0.0,1.0,1.4522416849995352,0,1607,"expr:add(sin(x2),x1);expr:add(x1,x1);expr:square(add(sin(x3),x3));expr:square(mul(cos(x1),x3))",-0.1759 + 0.9871*(sin(x2)+x1) + 0.5019*(x1+x1) + 0.2295*((sin(x3)+x3))^2 + 0.07095*((cos(x1)*x3))^2,generation budget reached
base,complementary,0.1,300,4,9016,fedfalsify-v05,1.0,1.0,1.0,3.0250276196841328e-05,0.08386565241621693,0.0,1.0,0.4685352549995514,237902,5,sin(x2);x1;x3^2,0.01073 + 1.997·x₁ + 0.4924·x₃² + 0.9832·sin(x₂),target federated MSE reached; no replacement passed the federated certificate
